Timestamp,Color Name,Confidence Score
2025-03-17 12:45:00,Licorice,0.84
2025-03-17 12:45:00,Licorice,0.85
2025-03-17 12:45:00,Licorice,0.81
2025-03-17 12:45:00,Licorice,0.83
2025-03-17 12:45:00,Licorice,0.85
2025-03-17 12:45:00,Licorice,0.83
2025-03-17 12:45:00,Licorice,0.86
2025-03-17 12:45:00,Licorice,0.88
2025-03-17 12:45:00,Licorice,0.85
2025-03-17 12:45:00,Licorice,0.83
2025-03-17 12:45:00,Licorice,0.85
2025-03-17 12:45:00,Licorice,0.83
2025-03-17 12:45:00,Licorice,0.86
2025-03-17 12:45:00,Licorice,0.82
2025-03-17 12:45:01,Licorice,0.87
2025-03-17 12:45:01,Licorice,0.86
2025-03-17 12:45:01,Licorice,0.84
2025-03-17 12:45:01,Licorice,0.81
2025-03-17 12:45:01,Licorice,0.84
2025-03-17 12:45:01,Licorice,0.84
2025-03-17 12:45:01,Licorice,0.85
2025-03-17 12:45:01,Licorice,0.86
2025-03-17 12:45:01,Licorice,0.84
2025-03-17 12:45:01,Licorice,0.84
2025-03-17 12:45:01,Black,0.84
2025-03-17 12:45:01,Black,0.85
2025-03-17 12:45:01,Black,0.84
2025-03-17 12:45:01,Black,0.82
2025-03-17 12:45:01,Licorice,0.84
2025-03-17 12:45:01,Licorice,0.86
2025-03-17 12:45:01,Black,0.84
2025-03-17 12:45:01,Black,0.84
2025-03-17 12:45:01,Licorice,0.84
2025-03-17 12:45:01,Licorice,0.84
2025-03-17 12:45:01,Licorice,0.82
2025-03-17 12:45:01,Black,0.85
2025-03-17 12:45:01,Black,0.84
2025-03-17 12:45:01,Licorice,0.84
2025-03-17 12:45:01,Licorice,0.84
2025-03-17 12:45:01,Black,0.87
2025-03-17 12:45:01,Licorice,0.81
2025-03-17 12:45:01,Black,0.85
2025-03-17 12:45:01,Black,0.84
2025-03-17 12:45:01,Black,0.84
2025-03-17 12:45:01,Black,0.84
2025-03-17 12:45:02,Licorice,0.85
2025-03-17 12:45:02,Licorice,0.84
2025-03-17 12:45:02,Black,0.85
2025-03-17 12:45:02,Licorice,0.85
2025-03-17 12:45:02,Licorice,0.85
2025-03-17 12:45:02,Black,0.84
2025-03-17 12:45:02,Licorice,0.83
2025-03-17 12:45:02,Licorice,0.84
2025-03-17 12:45:02,Licorice,0.85
2025-03-17 12:45:02,Licorice,0.85
2025-03-17 12:45:02,Licorice,0.84
2025-03-17 12:45:02,Licorice,0.84
2025-03-17 12:45:02,Licorice,0.83
2025-03-17 12:45:02,Licorice,0.84
2025-03-17 12:45:02,Licorice,0.84
2025-03-17 12:45:02,Licorice,0.84
2025-03-17 12:45:02,Licorice,0.85
2025-03-17 12:45:02,Black,0.85
2025-03-17 12:45:02,Black,0.87
2025-03-17 12:45:02,Licorice,0.86
2025-03-17 12:45:02,Licorice,0.86
2025-03-17 12:45:02,Licorice,0.84
2025-03-17 12:45:02,Black,0.84
2025-03-17 12:45:02,Licorice,0.84
2025-03-17 12:45:02,Licorice,0.82
2025-03-17 12:45:02,Licorice,0.85
2025-03-17 12:45:02,Licorice,0.83
2025-03-17 12:45:02,Licorice,0.82
2025-03-17 12:45:02,Licorice,0.84
2025-03-17 12:45:03,Black,0.86
2025-03-17 12:45:03,Licorice,0.83
2025-03-17 12:45:03,Licorice,0.83
2025-03-17 12:45:03,Black,0.85
2025-03-17 12:45:03,Licorice,0.87
2025-03-17 12:45:03,Licorice,0.85
2025-03-17 12:45:03,Licorice,0.84
2025-03-17 12:45:03,Licorice,0.84
2025-03-17 12:45:03,Licorice,0.83
2025-03-17 12:45:03,Licorice,0.86
2025-03-17 12:45:03,Licorice,0.84
2025-03-17 12:45:03,Black,0.85
2025-03-17 12:45:03,Black,0.85
2025-03-17 12:45:03,Licorice,0.85
2025-03-17 12:45:03,Licorice,0.86
2025-03-17 12:45:03,Licorice,0.85
2025-03-17 12:45:03,Licorice,0.86
2025-03-17 12:45:03,Licorice,0.86
2025-03-17 12:45:03,Licorice,0.84
2025-03-17 12:45:03,Licorice,0.86
2025-03-17 12:45:03,Licorice,0.84
2025-03-17 12:45:03,Licorice,0.84
2025-03-17 12:45:03,Licorice,0.86
2025-03-17 12:45:03,Licorice,0.86
2025-03-17 12:45:03,Licorice,0.85
2025-03-17 12:45:03,Licorice,0.86
2025-03-17 12:45:03,Licorice,0.86
2025-03-17 12:45:03,Licorice,0.84
2025-03-17 12:45:03,Licorice,0.84
2025-03-17 12:45:03,Licorice,0.84
2025-03-17 12:45:04,Licorice,0.85
2025-03-17 12:45:04,Licorice,0.85
2025-03-17 12:45:04,Licorice,0.83
2025-03-17 12:45:04,Licorice,0.82
2025-03-17 12:45:04,Licorice,0.82
2025-03-17 12:45:04,Licorice,0.83
2025-03-17 12:45:04,Licorice,0.86
2025-03-17 12:45:04,Licorice,0.84
2025-03-17 12:45:04,Licorice,0.85
2025-03-17 12:45:04,Licorice,0.86
2025-03-17 12:45:04,Licorice,0.85
2025-03-17 12:45:04,Licorice,0.86
2025-03-17 12:45:04,Licorice,0.85
2025-03-17 12:45:04,Licorice,0.84
2025-03-17 12:45:04,Licorice,0.85
2025-03-17 12:45:04,Licorice,0.85
2025-03-17 12:45:04,Licorice,0.86
2025-03-17 12:45:04,Licorice,0.85
2025-03-17 12:45:04,Licorice,0.83
2025-03-17 12:45:04,Licorice,0.85
2025-03-17 12:45:04,Black,0.83
2025-03-17 12:45:04,Licorice,0.86
2025-03-17 12:45:04,Licorice,0.82
2025-03-17 12:45:04,Licorice,0.84
2025-03-17 12:45:04,Licorice,0.85
2025-03-17 12:45:04,Licorice,0.85
2025-03-17 12:45:04,Licorice,0.86
2025-03-17 12:45:04,Licorice,0.85
2025-03-17 12:45:04,Licorice,0.86
2025-03-17 12:45:04,Licorice,0.86
2025-03-17 12:45:05,Licorice,0.85
2025-03-17 12:45:05,Licorice,0.85
2025-03-17 12:45:05,Licorice,0.85
2025-03-17 12:45:05,Licorice,0.86
2025-03-17 12:45:05,Licorice,0.84
2025-03-17 12:45:05,Licorice,0.82
2025-03-17 12:45:05,Licorice,0.88
2025-03-17 12:45:05,Licorice,0.87
2025-03-17 12:45:05,Licorice,0.84
2025-03-17 12:45:05,Black,0.84
2025-03-17 12:45:05,Licorice,0.81
2025-03-17 12:45:05,Licorice,0.85
2025-03-17 12:45:05,Licorice,0.83
2025-03-17 12:45:05,Licorice,0.83
2025-03-17 12:45:05,Licorice,0.84
2025-03-17 12:45:05,Licorice,0.85
2025-03-17 12:45:05,Licorice,0.85
2025-03-17 12:45:05,Licorice,0.83
2025-03-17 12:45:05,Licorice,0.86
2025-03-17 12:45:05,Licorice,0.86
2025-03-17 12:45:05,Licorice,0.84
2025-03-17 12:45:05,Licorice,0.83
2025-03-17 12:45:05,Licorice,0.86
2025-03-17 12:45:05,Licorice,0.84
2025-03-17 12:45:05,Licorice,0.88
2025-03-17 12:45:05,Licorice,0.84
2025-03-17 12:45:05,Licorice,0.84
2025-03-17 12:45:05,Licorice,0.85
2025-03-17 12:45:05,Licorice,0.85
2025-03-17 12:45:05,Licorice,0.85
2025-03-17 12:45:06,Licorice,0.86
2025-03-17 12:45:06,Licorice,0.84
2025-03-17 12:45:06,Licorice,0.87
2025-03-17 12:45:06,Licorice,0.83
2025-03-17 12:45:06,Licorice,0.85
2025-03-17 12:45:06,Licorice,0.85
2025-03-17 12:45:06,Licorice,0.87
2025-03-17 12:45:06,Licorice,0.87
2025-03-17 12:45:06,Licorice,0.85
2025-03-17 12:45:06,Licorice,0.85
2025-03-17 12:45:06,Licorice,0.86
2025-03-17 12:45:06,Licorice,0.85
2025-03-17 12:45:06,Licorice,0.85
2025-03-17 12:45:06,Licorice,0.86
2025-03-17 12:45:06,Licorice,0.83
2025-03-17 12:45:06,Licorice,0.84
2025-03-17 12:45:06,Licorice,0.84
2025-03-17 12:45:06,Licorice,0.87
2025-03-17 12:45:06,Licorice,0.83
2025-03-17 12:45:06,Licorice,0.88
2025-03-17 12:45:06,Licorice,0.85
